compound,formula,monoisotopic_mass,category,pathway_step,confidence,adduct,charge,expected_mz,notes
FAD,C27H33N9O15P2,785.15714,flavin,flavin adenine dinucleotide,medium,[M+2H]2+,2,393.58584,
FAD,C27H33N9O15P2,785.15714,flavin,flavin adenine dinucleotide,medium,[M+3H]3+,3,262.72632,
FAD,C27H33N9O15P2,785.15714,flavin,flavin adenine dinucleotide,medium,[M-H2O+H]1+,1,768.15385,
FAD,C27H33N9O15P2,785.15714,flavin,flavin adenine dinucleotide,medium,[M+NH3+H]1+,1,803.19096,
FAD,C27H33N9O15P2,785.15714,flavin,flavin adenine dinucleotide,medium,[M+ACN+H]1+,1,827.19096,
hydroxy-torulene,C40H54O1,550.41747,carotenoid,hypothetical hydroxylated torulene,low,[M+H]1+,1,551.42474,not a confirmed natural product; included only as an ester-formation scaffold
hydroxy-torulene,C40H54O1,550.41747,carotenoid,hypothetical hydroxylated torulene,low,[M+Na]1+,1,573.40669,not a confirmed natural product; included only as an ester-formation scaffold
hydroxy-torulene,C40H54O1,550.41747,carotenoid,hypothetical hydroxylated torulene,low,[M+K]1+,1,589.38062,not a confirmed natural product; included only as an ester-formation scaffold
hydroxy-torulene,C40H54O1,550.41747,carotenoid,hypothetical hydroxylated torulene,low,[M+2H]2+,2,276.21601,not a confirmed natural product; included only as an ester-formation scaffold
hydroxy-torulene,C40H54O1,550.41747,carotenoid,hypothetical hydroxylated torulene,low,[M+3H]3+,3,184.47977,not a confirmed natural product; included only as an ester-formation scaffold
hydroxy-torulene,C40H54O1,550.41747,carotenoid,hypothetical hydroxylated torulene,low,[M-H2O+H]1+,1,533.41418,not a confirmed natural product; included only as an ester-formation scaffold
hydroxy-torulene,C40H54O1,550.41747,carotenoid,hypothetical hydroxylated torulene,low,[M+NH3+H]1+,1,568.45129,not a confirmed natural product; included only as an ester-formation scaffold
hydroxy-torulene,C40H54O1,550.41747,carotenoid,hypothetical hydroxylated torulene,low,[M+ACN+H]1+,1,592.45129,not a confirmed natural product; included only as an ester-formation scaffold
hydroxy-torulene-C14:0(myristoyl)-ester,C54H80O2,760.61583,carotenoid,hypothetical xanthophyll ester,low,[M+H]1+,1,761.62311,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C14:0(myristoyl)-ester,C54H80O2,760.61583,carotenoid,hypothetical xanthophyll ester,low,[M+Na]1+,1,783.60505,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C14:0(myristoyl)-ester,C54H80O2,760.61583,carotenoid,hypothetical xanthophyll ester,low,[M+K]1+,1,799.57899,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C14:0(myristoyl)-ester,C54H80O2,760.61583,carotenoid,hypothetical xanthophyll ester,low,[M+2H]2+,2,381.31519,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C14:0(myristoyl)-ester,C54H80O2,760.61583,carotenoid,hypothetical xanthophyll ester,low,[M+3H]3+,3,254.54589,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C14:0(myristoyl)-ester,C54H80O2,760.61583,carotenoid,hypothetical xanthophyll ester,low,[M-H2O+H]1+,1,743.61254,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C14:0(myristoyl)-ester,C54H80O2,760.61583,carotenoid,hypothetical xanthophyll ester,low,[M+NH3+H]1+,1,778.64966,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C14:0(myristoyl)-ester,C54H80O2,760.61583,carotenoid,hypothetical xanthophyll ester,low,[M+ACN+H]1+,1,802.64966,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:0(palmitoyl)-ester,C56H84O2,788.64713,carotenoid,hypothetical xanthophyll ester,low,[M+H]1+,1,789.65441,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:0(palmitoyl)-ester,C56H84O2,788.64713,carotenoid,hypothetical xanthophyll ester,low,[M+Na]1+,1,811.63635,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:0(palmitoyl)-ester,C56H84O2,788.64713,carotenoid,hypothetical xanthophyll ester,low,[M+K]1+,1,827.61029,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:0(palmitoyl)-ester,C56H84O2,788.64713,carotenoid,hypothetical xanthophyll ester,low,[M+2H]2+,2,395.33084,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:0(palmitoyl)-ester,C56H84O2,788.64713,carotenoid,hypothetical xanthophyll ester,low,[M+3H]3+,3,263.88965,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:0(palmitoyl)-ester,C56H84O2,788.64713,carotenoid,hypothetical xanthophyll ester,low,[M-H2O+H]1+,1,771.64384,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:0(palmitoyl)-ester,C56H84O2,788.64713,carotenoid,hypothetical xanthophyll ester,low,[M+NH3+H]1+,1,806.68096,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:0(palmitoyl)-ester,C56H84O2,788.64713,carotenoid,hypothetical xanthophyll ester,low,[M+ACN+H]1+,1,830.68096,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:1(palmitoleoyl)-ester,C56H82O2,786.63148,carotenoid,hypothetical xanthophyll ester,low,[M+H]1+,1,787.63876,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:1(palmitoleoyl)-ester,C56H82O2,786.63148,carotenoid,hypothetical xanthophyll ester,low,[M+Na]1+,1,809.6207,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:1(palmitoleoyl)-ester,C56H82O2,786.63148,carotenoid,hypothetical xanthophyll ester,low,[M+K]1+,1,825.59464,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:1(palmitoleoyl)-ester,C56H82O2,786.63148,carotenoid,hypothetical xanthophyll ester,low,[M+2H]2+,2,394.32302,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:1(palmitoleoyl)-ester,C56H82O2,786.63148,carotenoid,hypothetical xanthophyll ester,low,[M+3H]3+,3,263.21777,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:1(palmitoleoyl)-ester,C56H82O2,786.63148,carotenoid,hypothetical xanthophyll ester,low,[M-H2O+H]1+,1,769.62819,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:1(palmitoleoyl)-ester,C56H82O2,786.63148,carotenoid,hypothetical xanthophyll ester,low,[M+NH3+H]1+,1,804.66531,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C16:1(palmitoleoyl)-ester,C56H82O2,786.63148,carotenoid,hypothetical xanthophyll ester,low,[M+ACN+H]1+,1,828.66531,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:0(stearoyl)-ester,C58H88O2,816.67843,carotenoid,hypothetical xanthophyll ester,low,[M+H]1+,1,817.68571,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:0(stearoyl)-ester,C58H88O2,816.67843,carotenoid,hypothetical xanthophyll ester,low,[M+Na]1+,1,839.66765,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:0(stearoyl)-ester,C58H88O2,816.67843,carotenoid,hypothetical xanthophyll ester,low,[M+K]1+,1,855.64159,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:0(stearoyl)-ester,C58H88O2,816.67843,carotenoid,hypothetical xanthophyll ester,low,[M+2H]2+,2,409.34649,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:0(stearoyl)-ester,C58H88O2,816.67843,carotenoid,hypothetical xanthophyll ester,low,[M+3H]3+,3,273.23342,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:0(stearoyl)-ester,C58H88O2,816.67843,carotenoid,hypothetical xanthophyll ester,low,[M-H2O+H]1+,1,799.67514,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:0(stearoyl)-ester,C58H88O2,816.67843,carotenoid,hypothetical xanthophyll ester,low,[M+NH3+H]1+,1,834.71226,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:0(stearoyl)-ester,C58H88O2,816.67843,carotenoid,hypothetical xanthophyll ester,low,[M+ACN+H]1+,1,858.71226,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:1(oleoyl)-ester,C58H86O2,814.66278,carotenoid,hypothetical xanthophyll ester,low,[M+H]1+,1,815.67006,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:1(oleoyl)-ester,C58H86O2,814.66278,carotenoid,hypothetical xanthophyll ester,low,[M+Na]1+,1,837.652,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:1(oleoyl)-ester,C58H86O2,814.66278,carotenoid,hypothetical xanthophyll ester,low,[M+K]1+,1,853.62594,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:1(oleoyl)-ester,C58H86O2,814.66278,carotenoid,hypothetical xanthophyll ester,low,[M+2H]2+,2,408.33867,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:1(oleoyl)-ester,C58H86O2,814.66278,carotenoid,hypothetical xanthophyll ester,low,[M+3H]3+,3,272.56154,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:1(oleoyl)-ester,C58H86O2,814.66278,carotenoid,hypothetical xanthophyll ester,low,[M-H2O+H]1+,1,797.65949,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:1(oleoyl)-ester,C58H86O2,814.66278,carotenoid,hypothetical xanthophyll ester,low,[M+NH3+H]1+,1,832.69661,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:1(oleoyl)-ester,C58H86O2,814.66278,carotenoid,hypothetical xanthophyll ester,low,[M+ACN+H]1+,1,856.69661,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:2(linoleoyl)-ester,C58H84O2,812.64713,carotenoid,hypothetical xanthophyll ester,low,[M+H]1+,1,813.65441,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:2(linoleoyl)-ester,C58H84O2,812.64713,carotenoid,hypothetical xanthophyll ester,low,[M+Na]1+,1,835.63635,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:2(linoleoyl)-ester,C58H84O2,812.64713,carotenoid,hypothetical xanthophyll ester,low,[M+K]1+,1,851.61029,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:2(linoleoyl)-ester,C58H84O2,812.64713,carotenoid,hypothetical xanthophyll ester,low,[M+2H]2+,2,407.33084,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:2(linoleoyl)-ester,C58H84O2,812.64713,carotenoid,hypothetical xanthophyll ester,low,[M+3H]3+,3,271.88965,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:2(linoleoyl)-ester,C58H84O2,812.64713,carotenoid,hypothetical xanthophyll ester,low,[M-H2O+H]1+,1,795.64384,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:2(linoleoyl)-ester,C58H84O2,812.64713,carotenoid,hypothetical xanthophyll ester,low,[M+NH3+H]1+,1,830.68096,"speculative ester scaffold, not a confirmed natural product"
hydroxy-torulene-C18:2(linoleoyl)-ester,C58H84O2,812.64713,carotenoid,hypothetical xanthophyll ester,low,[M+ACN+H]1+,1,854.68096,"speculative ester scaffold, not a confirmed natural product"
